,source_id,date_time,title,excerpt,article_url,image_url,author,author_url,concat
27,post-175965,2020-11-24 10:58:16.609949,"Wall Street veteran Michael Novogratz held over 30,000 Bitcoin and 500,000 Ethereum at one point","Ever wondered how much cryptocurrency Wall Street veteran Mike Novogratz owns (or at least owned)? In a recent podcast, he recently answered this question and also revealed his thoughts about the Bitcoin and broader crypto market. ",https://cryptoslate.com/wall-street-vet-novogratz-held-over-30000-bitcoin-and-500000-ethereum-at-one-point/,,Nick Chong,,"Wall Street veteran Michael Novogratz held over 30,000 Bitcoin and 500,000 Ethereum at one point, Ever wondered how much cryptocurrency Wall Street veteran Mike Novogratz owns (or at least owned)? In a recent podcast, he recently answered this question and also revealed his thoughts about the Bitcoin and broader crypto market. "
28,post-175757,2020-11-24 10:58:16.610947,One of China’s biggest banks is allowing investors to buy bonds with Bitcoin,"China Construction Bank (CCB), one of the country’s “big four” financial players, is planning to raise up to $3 billion from a sale of bonds that individuals and institutions can trade in and out of using Bitcoin and the US dollar, financial publication WSJ reported Wednesday. ",https://cryptoslate.com/one-of-chinas-biggest-banks-is-allowing-investors-to-buy-bonds-with-bitcoin/,,Shaurya Malwa,,"One of China’s biggest banks is allowing investors to buy bonds with Bitcoin, China Construction Bank (CCB), one of the country’s “big four” financial players, is planning to raise up to $3 billion from a sale of bonds that individuals and institutions can trade in and out of using Bitcoin and the US dollar, financial publication WSJ reported Wednesday. "
29,post-175553,2020-11-24 10:58:17.501526,1.1m XRP stolen in phishing scam on crypto wallet Ledger lookalike,Crypto scams and attacks are on the rise once again as the broader sector breaks out of a nearly three-year-long bear market. ,https://cryptoslate.com/1-1m-xrp-stolen-in-phishing-scam-on-crypto-wallet-ledger-lookalike/,,Shaurya Malwa,,"1.1m XRP stolen in phishing scam on crypto wallet Ledger lookalike, Crypto scams and attacks are on the rise once again as the broader sector breaks out of a nearly three-year-long bear market. "
30,post-175450,2020-10-25 10:58:17.501526,The challenges of large-scale crypto mining,It’s the question every business asks at some point: How do I scale? But crypto mining isn’t just any other business and comes with its own set of scaling issues to consider. ,https://cryptoslate.com/the-challenges-of-large-scale-crypto-mining/,,Marco Streng,,"The challenges of large-scale crypto mining, It’s the question every business asks at some point: How do I scale? But crypto mining isn’t just any other business and comes with its own set of scaling issues to consider. "
31,post-175237,2020-10-25 10:58:17.501526,"$TRUMP zooms to top-performing prediction market crypto amidst US elections, $BIDEN falls 50%",Two Ethereum-based prediction markets on crypto exchange FTX saw activity reach record levels yesterday as the US elections went underway. ,https://cryptoslate.com/trump-zooms-to-top-performing-prediction-market-crypto-amidst-us-elections-biden-falls-50/,,Shaurya Malwa,,"$TRUMP zooms to top-performing prediction market crypto amidst US elections, $BIDEN falls 50%, Two Ethereum-based prediction markets on crypto exchange FTX saw activity reach record levels yesterday as the US elections went underway. "
32,post-175028,2020-10-25 10:58:17.502523,How Marlowe Playground rounds up all of the work being done on Cardano’s Goguen,Today’s release of Marlowe Playground marks an important milestone for Cardano—the beginning of its Goguen era. ,https://cryptoslate.com/how-marlowe-playground-rounds-up-all-of-the-work-being-done-on-cardanos-goguen/,,Priyeshu Garg,,"How Marlowe Playground rounds up all of the work being done on Cardano’s Goguen, Today’s release of Marlowe Playground marks an important milestone for Cardano—the beginning of its Goguen era. "
33,post-174528,2020-10-25 10:58:18.591863,This WordPress plugin will allow authors to timestamp content on the Ethereum blockchain,"Amsterdam-based WordProof announced today it will allow customers to timestamp content on the Ethereum blockchain, it said during the BlockDown Conference 2020 on October 22. ",https://cryptoslate.com/this-wordpress-plugin-will-allow-authors-to-timestamp-content-on-the-ethereum-blockchain/,,Shaurya Malwa,,"This WordPress plugin will allow authors to timestamp content on the Ethereum blockchain, Amsterdam-based WordProof announced today it will allow customers to timestamp content on the Ethereum blockchain, it said during the BlockDown Conference 2020 on October 22. "
34,post-174489,2020-10-25 10:58:18.592609,Akon’s Akoin partners with Roll to allow creators to launch their own “social money”,"Akoin, the cryptocurrency and decentralized app ecosystem developed by popular music artist Akon, has partnered with Roll, a blockchain platform that enables creators to develop their own branded digital currency (called social money) unique to their online presence. ",https://cryptoslate.com/akons-akoin-partners-with-roll-to-allow-creators-to-launch-their-own-social-money/,,Shaurya Malwa,,"Akon’s Akoin partners with Roll to allow creators to launch their own “social money”, Akoin, the cryptocurrency and decentralized app ecosystem developed by popular music artist Akon, has partnered with Roll, a blockchain platform that enables creators to develop their own branded digital currency (called social money) unique to their online presence. "
35,post-174450,2020-10-25 10:58:18.592609,Silicon Valley will create an Ethereum & DeFi bubble: Analyst,Ethereum’s decentralized finance (DeFi) space has seen exponential growth over the past few months. ,https://cryptoslate.com/silicon-valley-will-create-an-ethereum-defi-bubble-analyst/,,Nick Chong,,"Silicon Valley will create an Ethereum & DeFi bubble: Analyst, Ethereum’s decentralized finance (DeFi) space has seen exponential growth over the past few months. "
36,post-174258,2020-10-25 10:58:18.593645,Asset manager: Activist investors may save Ethereum DeFi token Curve (CRV) as token price hits all-time lows,"Curve is by far one of the most popular platforms used for stablecoin swaps, cross-chain interoperability, and synthetic assets. ",https://cryptoslate.com/asset-manager-activist-investors-may-save-ethereum-defi-token-curve-crv-as-token-price-hits-all-time-lows/,,Cole Petersen,,"Asset manager: Activist investors may save Ethereum DeFi token Curve (CRV) as token price hits all-time lows, Curve is by far one of the most popular platforms used for stablecoin swaps, cross-chain interoperability, and synthetic assets. "
37,post-174250,2020-10-25 10:58:18.593645,"After helping Yearn.finance to $1b, Blue Kirby called it quits. But now he’s back","As crazy as it may sound, one of the most talked-about figures in the Ethereum and DeFi space over recent weeks has been a pseudonymous user called Blue Kirby. ",https://cryptoslate.com/after-helping-yearn-finance-to-1b-blue-kirby-called-it-quits-but-now-hes-back/,,Nick Chong,,"After helping Yearn.finance to $1b, Blue Kirby called it quits. But now he’s back, As crazy as it may sound, one of the most talked-about figures in the Ethereum and DeFi space over recent weeks has been a pseudonymous user called Blue Kirby. "
38,post-174205,2020-10-25 10:58:18.593645,Prominent Silicon Valley investor Naval doesn’t think Bitcoin goes to $3k again,"Legendary venture capitalist investor Naval Ravikant recently took to The Tim Ferris Show, an extremely popular podcast about business and self-betterment. ",https://cryptoslate.com/prominent-silicon-valley-investor-naval-doesnt-think-bitcoin-goes-to-3k-again/,,Nick Chong,,"Prominent Silicon Valley investor Naval doesn’t think Bitcoin goes to $3k again, Legendary venture capitalist investor Naval Ravikant recently took to The Tim Ferris Show, an extremely popular podcast about business and self-betterment. "
39,post-173626,2020-09-25 10:58:19.516177,Square allocates one percent of its total assets to Bitcoin,"Square Inc has announced today that it has purchased 4,709 BTC for approximately $50 million, allocating around 1 percent of its total assets as of Q2 2020 to Bitcoin. ",https://cryptoslate.com/square-allocates-one-percent-of-its-total-assets-to-bitcoin/,,Priyeshu Garg,,"Square allocates one percent of its total assets to Bitcoin, Square Inc has announced today that it has purchased 4,709 BTC for approximately $50 million, allocating around 1 percent of its total assets as of Q2 2020 to Bitcoin. "
40,post-173199,2020-09-25 10:58:19.517136,CFTC charges BitMEX with illegally operating an unregistered trading platform,"The United States Commodity Futures Trading Commission (CFTC) has charged the owners of BitMEX with operating an unregistered trading platform and violating multiple CFTC regulations, including failing to meet required AML procedures. ",https://cryptoslate.com/cftc-charges-bitmex-with-illegally-operating-an-unregistered-trading-platform/,,Priyeshu Garg,,"CFTC charges BitMEX with illegally operating an unregistered trading platform, The United States Commodity Futures Trading Commission (CFTC) has charged the owners of BitMEX with operating an unregistered trading platform and violating multiple CFTC regulations, including failing to meet required AML procedures. "
41,post-172612,2020-09-25 10:58:19.517136,Not all Ethereum users are excited to stake on ETH2’s Beacon Chain,The launch of Ethereum 2’s first phase (a.k.a. ,https://cryptoslate.com/not-all-ethereum-users-arent-excited-to-stake-on-eth2s-beacon-chain/,,Nick Chong,,"Not all Ethereum users are excited to stake on ETH2’s Beacon Chain, The launch of Ethereum 2’s first phase (a.k.a. "
42,post-171975,2020-09-25 10:58:20.747883,"What is Pickle Finance? New Ethereum DeFi craze rallies 1,000% in one day",It appears that decentralized finance (DeFi) has not peaked despite a deluge of scammy projects and clear copy-cats of popular protocols. ,https://cryptoslate.com/what-is-pickle-finance-new-ethereum-defi-craze-rallies-1000-in-one-day/,,Nick Chong,,"What is Pickle Finance? New Ethereum DeFi craze rallies 1,000% in one day, It appears that decentralized finance (DeFi) has not peaked despite a deluge of scammy projects and clear copy-cats of popular protocols. "
43,post-171771,2020-09-25 10:58:20.747883,Ethereum rally sparks renewed hopes for a continuation of the DeFi bull run,"Ethereum has seen some incredibly strong price action throughout the past 24-hours, which has allowed it to erase a good bulk of its recent losses. ",https://cryptoslate.com/ethereum-rally-sparks-renewed-hopes-for-a-continuation-of-the-defi-bull-run/,,Cole Petersen,,"Ethereum rally sparks renewed hopes for a continuation of the DeFi bull run, Ethereum has seen some incredibly strong price action throughout the past 24-hours, which has allowed it to erase a good bulk of its recent losses. "
44,post-171365,2020-08-26 10:58:20.747883,Blockchain data: Ethereum’s Yearn.finance (YFI) has room to rally after record rally,"Even amid the ongoing Bitcoin and Ethereum correction, which has brought the two cryptocurrencies down 11 percent and 19 percent from their local highs, respectively, Yearn.finance (YFI) has held up well. ",https://cryptoslate.com/blockchain-data-ethereums-yearn-finance-yfi-has-room-to-rally-after-record-rally/,,Nick Chong,,"Blockchain data: Ethereum’s Yearn.finance (YFI) has room to rally after record rally, Even amid the ongoing Bitcoin and Ethereum correction, which has brought the two cryptocurrencies down 11 percent and 19 percent from their local highs, respectively, Yearn.finance (YFI) has held up well. "
45,post-171307,2020-08-26 10:58:20.748881,"Bitcoin dominance falls as Ethereum, DeFi dominate the crypto market","The ongoing frenzy in the decentralized finance (DeFi) focused crypto market has led to industry leader Bitcoin lose its “dominance” by a significant percentage, data on tracking site CoinMarketCap shows. ",https://cryptoslate.com/bitcoin-dominance-falls-as-ethereum-defi-dominate-the-crypto-market/,,Shaurya Malwa,,"Bitcoin dominance falls as Ethereum, DeFi dominate the crypto market, The ongoing frenzy in the decentralized finance (DeFi) focused crypto market has led to industry leader Bitcoin lose its “dominance” by a significant percentage, data on tracking site CoinMarketCap shows. "
46,post-171184,2020-08-26 10:58:20.748881,"Ethereum DeFi giant Yearn.finance (YFI) is literally up 1,000,000% since its July launch",Yearn.finance (YFI) has taken the entire crypto industry by storm over recent weeks. ,https://cryptoslate.com/ethereum-defi-giant-yearn-finance-yfi-is-literally-up-1000000-since-its-july-launch/,,Nick Chong,,"Ethereum DeFi giant Yearn.finance (YFI) is literally up 1,000,000% since its July launch, Yearn.finance (YFI) has taken the entire crypto industry by storm over recent weeks. "
47,post-169108,2020-08-26 10:58:21.765748,Ethereum competitor Polkadot hits $3.5b valuation: what’s fueling the rally? [UPDATED],"Polkadot (DOT), a blockchain protocol founded by Ethereum co-creator Gavin Wood, achieved a $3.5 billion market capitalization. ",https://cryptoslate.com/ethereum-competitor-polkadot-hits-3-5b-valuation-whats-fueling-the-rally/,,Joseph Young,,"Ethereum competitor Polkadot hits $3.5b valuation: what’s fueling the rally? [UPDATED], Polkadot (DOT), a blockchain protocol founded by Ethereum co-creator Gavin Wood, achieved a $3.5 billion market capitalization. "
48,post-143317,2020-08-26 10:58:21.765748,Ethereum fees rocket to new all-time highs as DeFi sector extends momentum,"Ethereum fees have seen unprecedented growth in recent weeks, which has been driven by rocketing demand for block space on the network. ",https://cryptoslate.com/ethereum-fees-rocket-to-new-all-time-highs-as-defi-sector-extends-momentum/,,Cole Petersen,,"Ethereum fees rocket to new all-time highs as DeFi sector extends momentum, Ethereum fees have seen unprecedented growth in recent weeks, which has been driven by rocketing demand for block space on the network. "
49,post-141856,2020-08-26 10:58:22.680270,"Forget YAM, Ethereum DeFi’s hottest new craze is Based—literally","Just 24 hours after it launched, a new Ethereum decentralized finance protocol called Yam Finance has received deposits of over $400 million worth of altcoins like Wrapped Ethereum and Yearn.finance. ",https://cryptoslate.com/forget-yam-ethereum-defis-hottest-new-craze-is-based-literally/,,Nick Chong,,"Forget YAM, Ethereum DeFi’s hottest new craze is Based—literally, Just 24 hours after it launched, a new Ethereum decentralized finance protocol called Yam Finance has received deposits of over $400 million worth of altcoins like Wrapped Ethereum and Yearn.finance. "
50,post-141859,2020-08-26 10:58:22.680270,How to stake ADA from your Cardano Yoroi wallet,"Staking Cardano (ADA) from Yoroi is an easy and straightforward process, very similar to staking your funds from Daedalus. ",https://cryptoslate.com/how-stake-ada-cardano-yoroi-wallet/,,Priyeshu Garg,,"How to stake ADA from your Cardano Yoroi wallet, Staking Cardano (ADA) from Yoroi is an easy and straightforward process, very similar to staking your funds from Daedalus. "
51,post-141884,2020-08-26 10:58:22.681267,Coinbase to allow Americans to take cash loans with Bitcoin collateral,"US crypto exchange Coinbase is going all out with its crypto offerings ahead of a purported bull run, listing DeFi projects, in-demand altcoins, and now a product for loans using one’s Bitcoin. ",https://cryptoslate.com/coinbase-to-allow-americans-to-take-cash-loans-with-bitcoin-collateral/,,Shaurya Malwa,,"Coinbase to allow Americans to take cash loans with Bitcoin collateral, US crypto exchange Coinbase is going all out with its crypto offerings ahead of a purported bull run, listing DeFi projects, in-demand altcoins, and now a product for loans using one’s Bitcoin. "
52,post-141846,2020-08-26 10:58:22.681267,"Chainlink rallies to fresh highs of $16, but data reveals mounting selling pressure","Chainlink’s price has flashed signs of intense strength in recent weeks, with each pullback being aggressively bought by bulls. ",https://cryptoslate.com/chainlink-rallies-to-fresh-highs-of-16-but-data-reveals-mounting-selling-pressure/,,Cole Petersen,,"Chainlink rallies to fresh highs of $16, but data reveals mounting selling pressure, Chainlink’s price has flashed signs of intense strength in recent weeks, with each pullback being aggressively bought by bulls. "
53,post-141322,2020-07-27 10:58:22.681267,Zeus Capital asserts Chainlink will “dump” despite LINK rallying to $10,"While Bitcoin and Ethereum have stagnated at local highs, Chainlink (LINK) has been pressing higher and higher over recent days. ",https://cryptoslate.com/zeus-capital-asserts-chainlink-will-dump-despite-link-rallying-to-10/,,Nick Chong,,"Zeus Capital asserts Chainlink will “dump” despite LINK rallying to $10, While Bitcoin and Ethereum have stagnated at local highs, Chainlink (LINK) has been pressing higher and higher over recent days. "
54,post-141309,2020-07-27 10:58:22.682297,Litecoin “active” wallets jump ahead of Bitcoin Cash and BSV,Litecoin — long called the digital silver to Bitcoin — is seeing a rise in activity ahead of its MimbleWimble implementation in September this year. ,https://cryptoslate.com/litecoin-active-wallets-jump-ahead-of-bitcoin-cash-and-bsv/,,Shaurya Malwa,,"Litecoin “active” wallets jump ahead of Bitcoin Cash and BSV, Litecoin — long called the digital silver to Bitcoin — is seeing a rise in activity ahead of its MimbleWimble implementation in September this year. "
